PubMedID,Title,Authors,Source,Year
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.","Emiko Oka, Megumi Okada, Yoshiko Ikuno, Kokoro Amano, Sakiko Shioya, Migiri Kawabata, Rie Sakurai, Miki Konishi, Tomoki Nakaya, Kota Katanoda, Yutaka Ueda, Yuri Ito",JAMA network open,2025
40079843,The transcription factor RORÎ± is required for the development of type 1 innate lymphoid cells in adult bone marrow.,"Shinya Abe, Moe Kagao, Takuma Asahi, Ryoma Kato, Shizue Tani-Ichi, Akihiro Shimba, Riki Ishibashi, Hitoshi Miyachi, Satsuki Kitano, Masaki Miyazaki, Hans-Reimer Rodewald, Fumiko Toyoshima, Koichi Ikuta","Journal of immunology (Baltimore, Md. : 1950)",2025
40079842,Allogeneic composite amniotic membrane in tympanic membrane repair: a randomized parallel controlled study.,"Anchi Sun, Rongrong Lv, Zhiwei Xing, Xiaomin Wang, Mingjie Zhang, Mengjun Wang, Qianqian Shao, Hui Li",Acta oto-laryngologica,2025
40079787,External Validation of Population Pharmacokinetic Models of Lamotrigine in Patients with Epilepsy or Postneurosurgery.,"Yunshu Jia, Jin Guo, Hua Yang, Qian Lu, Yingjun He, Zhigang Zhao, Shenghui Mei",Therapeutic drug monitoring,2025
40079709,Treatment Efficacy of Theophylline in ADCY5-Related Dyskinesia: A Retrospective Case Series Study.,"Dirk Taenzler, Frank Hause, Andreas Merkenschlager, Andrea Sinz",Movement disorders : official journal of the Movement Disorder Society,2025
40079707,"The current landscape of 1,2,3-triazole hybrids with anticancer therapeutic potential: Part I.","Shanshan Huang, Zhi Xu, Yafei Zhuang",Archiv der Pharmazie,2025
40079695,ZIF-8-Modified Multifunctional Hydrogel Loading siRNA and DOX for Postoperative Therapy of Maxillofacial Osteosarcoma and Bone Repair.,"Jiamin Zhou, Guimei Lin, Xianglei Fu, Shengnan Qiu, Yankun Zhang, Xiangqin Chen, Yingying Liu, Xiaoyu Wan, Zengmei Li, Yaqi Li, Fanyang Mo, Hua Shen, Qinfeng Sun, Jinyan Sun, Jianwei Liu",ACS applied materials & interfaces,2025
40079557,Therapeutic mitochondria treatment amplifies macrophage-mediated phagocytosis and recycling exocytosis.,"Masayoshi Tanaka, Shin Ishikane, Dong Bin Back, Ester Licastro, Fang Zhang, Ji Hyun Park, Elga Esposito, Giuseppe Pignataro, Takafumi Nakano, Yoshihiko Nakamura, Kazuhide Hayakawa",Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2025
40079429,Lipase-Palladium Co-catalyzed Dynamic Kinetic Resolution of Racemic Allylic Esters.,"Masato Oono, Akane Yamada, Masanari Kimura, Kyohei Kanomata, Shuji Akai","Chemistry (Weinheim an der Bergstrasse, Germany)",2025
40079412,Pyrrole-Tethered Bisbenzoxazole Derivatives: Apoptosis-Inducing Agents Targeting Breast Cancer Cells.,"Burak Kuzu, Derya Yetkin, Ceylan Hepokur, Oztekin Algul",Chemical biology & drug design,2025
